Leaflet_ID,dominant_topic
61,4
62,7
63,0
64,7
65,8
66,7
67,1
68,0
69,7
70,0
71,8
72,0
73,8
74,3
75,7
76,9
77,9
78,1
79,6
80,0
21,4
22,4
23,0
24,9
25,7
26,5
27,7
28,7
29,5
30,4
31,5
32,9
33,0
34,7
35,0
36,0
37,3
38,8
39,8
40,8
1,4
2,0
3,7
4,7
5,2
6,8
7,9
8,8
9,5
10,0
11,0
12,7
13,8
14,7
15,7
16,4
17,7
18,7
19,8
20,3
41,4
42,0
43,7
44,7
45,0
46,8
47,4
48,0
49,8
50,8
51,6
52,4
53,2
54,5
55,4
56,4
57,3
58,3
59,8
60,6
81,4
82,0
83,7
84,7
85,8
86,2
87,8
88,0
89,4
90,2
91,7
92,4
93,8
94,3
95,7
96,2
97,0
98,7
99,9
100,0
121,4
122,7
123,0
124,7
125,2
126,8
127,4
128,0
129,7
130,2
131,8
132,4
133,2
134,0
135,8
136,4
137,7
138,7
139,9
140,2
141,4
142,0
143,7
144,7
145,8
146,2
147,4
148,0
149,5
150,2
151,0
152,4
153,9
154,0
155,0
156,2
157,2
158,7
159,5
160,0
101,4
102,0
103,7
104,7
105,8
106,2
107,4
108,7
109,3
110,2
111,7
112,4
113,4
114,7
115,0
116,7
117,2
118,5
119,3
120,8
161,4
162,0
163,7
164,7
165,8
166,2
167,9
168,3
169,1
170,6
171,5
172,4
173,4
174,3
175,1
176,8
177,2
178,0
179,1
180,8
181,4
182,0
183,7
184,7
185,8
186,2
187,4
188,4
189,0
190,8
191,4
192,0
193,4
194,3
195,6
196,2
197,5
198,1
199,5
200,3
221,4
222,0
223,7
224,7
225,8
226,2
227,4
228,1
229,3
230,6
231,2
232,6
233,9
234,1
235,0
236,8
237,6
238,2
239,7
240,8
201,4
202,0
203,8
204,7
205,7
206,2
207,4
208,3
209,8
210,8
211,7
212,4
213,2
214,2
215,0
216,2
217,9
218,8
219,0
220,6
241,4
242,0
243,7
244,7
245,8
246,2
247,6
248,0
249,1
250,4
251,2
252,4
253,4
254,1
255,7
256,7
257,8
258,4
259,3
260,0
281,4
282,0
283,7
284,7
285,8
286,0
287,6
288,3
289,8
290,6
291,8
292,2
293,9
294,1
295,0
296,0
297,4
298,2
299,4
300,7
